,name,team,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,XBH,GO,AO,GO/AO,GW_RBI,BB/K,P/PA,ISOP,XR,GPA,PO,PKO,IP,DP,GS,A,SB,CS,PB,E,FPCT,CS%,SBA,SB%,OOB
0,유한준,넥센,0.362,139,598,520,103,188,42,1,23,301,116,1,8,66,131,138,0.95,9,0.94,4.01,0.217,116.0,0.33799999999999997,248,0,1100.6666666666665,0,129,4,0,0,0,2,0.9921259842519684,0.0,6,50.0,10
1,박병호,넥센,0.343,140,622,528,129,181,35,1,53,377,146,0,4,89,87,103,0.84,16,0.48,4.05,0.371,144.7,0.375,1114,0,1132.3333333333333,103,132,93,0,0,0,12,0.9901558654634948,0.0,13,76.92307692307693,2
2,허정협,넥센,0.333,4,6,6,1,2,0,0,0,2,0,0,0,0,1,0,-,0,0.00,3.83,0.000,0.6,0.233,3,0,6.0,0,1,0,0,0,0,0,1.0,0.0,0,0.0,0
3,홍성갑,넥센,0.333,7,10,9,0,3,0,0,0,3,2,0,0,0,2,0,-,0,0.25,4.70,0.000,1.3,0.263,0,0,1.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0
4,이택근,넥센,0.326,105,401,347,61,113,16,1,10,161,44,3,4,27,95,90,1.06,2,0.83,4.02,0.138,62.8,0.297,128,0,621.6666666666666,0,72,3,0,0,0,0,1.0,0.0,17,64.70588235294117,10
5,고종욱,넥센,0.310,119,443,407,81,126,25,4,10,189,51,4,1,39,110,91,1.21,7,0.31,3.85,0.155,60.9,0.27699999999999997,106,0,483.66666666666674,0,57,1,0,0,0,3,0.9727272727272728,0.0,36,61.111111111111114,9
6,김민성,넥센,0.303,118,489,445,60,135,24,0,16,207,71,2,3,40,120,131,0.92,2,0.50,3.94,0.162,68.1,0.27699999999999997,125,0,797.6666666666665,36,94,209,0,0,0,5,0.9852507374631267,0.0,2,50.0,3
7,서건창,넥센,0.298,85,368,312,52,93,24,4,3,134,37,11,2,31,112,85,1.32,5,1.75,3.66,0.131,51.0,0.27899999999999997,148,0,566.0,49,67,174,0,0,0,11,0.9669669669669668,0.0,11,81.81818181818183,4
8,윤석민,넥센,0.294,108,418,361,54,106,24,1,14,174,71,5,7,39,108,92,1.17,5,0.60,3.82,0.188,60.5,0.285,102,0,625.3333333333334,21,72,115,0,0,0,13,0.9434782608695652,0.0,5,60.0,6
9,김하성,넥센,0.290,140,582,511,89,148,35,5,19,250,73,4,6,59,111,143,0.78,4,0.49,4.23,0.200,90.6,0.285,212,0,1209.3333333333333,87,139,408,0,0,0,21,0.967238689547582,0.0,26,84.61538461538461,9
10,스나이더,넥센,0.281,113,487,431,88,121,26,1,26,227,71,3,5,53,65,115,0.57,4,0.27,4.17,0.246,79.9,0.289,158,0,839.0,2,93,5,0,0,0,2,0.987878787878788,0.0,6,66.66666666666666,6
11,강지광,넥센,0.278,13,21,18,3,5,0,0,0,5,2,0,0,0,1,3,0.33,0,0.22,3.52,0.000,2.3,0.24100000000000002,5,0,24.0,0,3,0,0,0,0,1,0.8333333333333334,0.0,0,0.0,0
12,장시윤,넥센,0.276,17,31,29,2,8,0,0,0,8,2,2,0,0,5,7,0.71,0,0.00,3.68,0.000,1.4,0.193,8,0,87.33333333333331,2,12,27,0,0,0,2,0.945945945945946,0.0,1,0.0,0
13,박동원,넥센,0.266,127,443,379,47,101,12,1,14,157,61,10,8,27,106,87,1.22,11,0.40,3.72,0.148,58.6,0.256,858,6,1012.0,10,122,96,75,32,9,10,0.9896265560165975,29.906542056074766,0,0.0,5
14,김재현,넥센,0.262,59,71,65,7,17,3,0,1,23,6,2,1,4,15,19,0.79,0,0.13,3.72,0.092,6.8,0.21899999999999997,153,1,204.66666666666663,1,15,15,21,7,1,2,0.9882352941176472,25.0,0,0.0,1
15,유재신,넥센,0.259,62,32,27,21,7,2,0,0,9,3,2,0,2,8,2,4.00,0,0.30,4.00,0.074,3.9,0.233,36,0,72.33333333333334,4,4,2,0,0,0,1,0.9743589743589745,0.0,11,90.9090909090909,0
16,송성문,넥센,0.250,7,12,12,0,3,0,0,0,3,1,0,0,0,4,2,2.00,0,0.00,2.83,0.000,0.7,0.175,7,0,27.0,2,5,8,0,0,0,2,0.8823529411764706,0.0,0,0.0,0
17,박헌도,넥센,0.248,108,267,218,31,54,13,0,8,91,42,3,2,21,62,52,1.19,5,0.71,4.25,0.170,35.2,0.271,74,0,426.66666666666674,0,45,0,0,0,0,0,1.0,0.0,2,0.0,5
18,유선정,넥센,0.240,17,27,25,1,6,0,0,0,6,2,0,0,0,6,8,0.75,0,0.40,3.78,0.000,1.6,0.193,68,0,69.33333333333333,1,7,3,15,2,0,1,0.9861111111111112,11.764705882352938,0,0.0,1
19,문우람,넥센,0.235,63,138,119,22,28,10,0,2,44,22,1,3,12,30,34,0.88,1,0.40,4.02,0.134,15.3,0.23399999999999999,47,0,267.66666666666663,0,22,4,0,0,0,1,0.9807692307692308,0.0,2,50.0,0
20,김지수,넥센,0.235,104,151,132,23,31,7,0,0,38,13,7,1,7,39,36,1.08,0,0.33,3.61,0.053,11.4,0.203,70,0,400.00000000000006,31,31,122,0,0,0,2,0.9896907216494846,0.0,3,66.66666666666666,0
21,서동욱,넥센,0.233,55,118,103,14,24,5,0,3,38,15,1,0,8,20,14,1.43,2,0.24,4.25,0.136,12.9,0.239,103,0,237.33333333333331,20,23,59,0,0,0,2,0.9878048780487804,0.0,0,0.0,0
22,임병욱,넥센,0.186,40,52,43,13,8,1,1,1,14,3,0,0,3,5,7,0.71,0,0.39,4.08,0.140,4.1,0.22899999999999998,18,0,49.0,2,3,0,0,0,0,0,1.0,0.0,6,33.33333333333333,1
23,장영석,넥센,0.125,6,8,8,0,1,0,0,0,1,0,0,0,0,3,2,1.50,0,0.00,3.25,0.000,-0.5,0.08800000000000001,1,0,22.0,1,1,9,0,0,0,1,0.9090909090909092,0.0,0,0.0,0
24,김민준,넥센,0.000,2,2,1,1,0,0,0,0,0,0,0,0,0,1,0,-,0,-,7.00,0.000,0.3,0.225,0,0,6.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0
25,김택형,넥센,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0.0,0.0,5,0,58.0,0,10,8,0,0,0,1,0.9285714285714286,0.0,0,0.0,0
26,마정길,넥센,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0.0,0.0,2,0,37.333333333333336,1,0,2,0,0,0,0,1.0,0.0,0,0.0,0
27,문성현,넥센,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0.0,0.0,8,0,91.66666666666669,0,13,6,0,0,0,0,1.0,0.0,0,0.0,0
28,손승락,넥센,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0.0,0.0,5,0,61.33333333333334,0,0,16,0,0,0,1,0.9545454545454546,0.0,0,0.0,0
29,한현희,넥센,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0.0,0.0,8,1,123.33333333333331,0,17,16,0,0,0,2,0.9230769230769232,0.0,0,0.0,0
