,name,team,salary
0,강한울,KIA,6000.0
1,고영우,KIA,3900.0
2,김광수,KIA,10000.0
3,김다원,KIA,7000.0
4,김명찬,KIA,2900.0
5,김민우,KIA,12000.0
6,김병현,KIA,15000.0
7,김원섭,KIA,15000.0
8,김주찬,KIA,50000.0
9,김주형,KIA,5500.0
10,김준,KIA,3200.0
11,김진우,KIA,12000.0
12,김태영,KIA,8800.0
13,김호령,KIA,6000.0
14,나지완,KIA,20000.0
15,노수광,KIA,3000.0
16,문경찬,KIA,2700.0
17,박정수,KIA,2700.0
18,박준태,KIA,3400.0
19,박준표,KIA,4500.0
20,박찬호,KIA,3700.0
21,백용환,KIA,6000.0
22,신종길,KIA,12000.0
23,신창호,KIA,3700.0
24,심동섭,KIA,14000.0
25,양현종,KIA,75000.0
26,오준혁,KIA,3300.0
27,유창식,KIA,6000.0
28,윤석민,KIA,125000.0
29,윤완주,KIA,3500.0
30,이범호,KIA,65000.0
31,이성우,KIA,6500.0
32,이은총,KIA,3000.0
33,이인행,KIA,3000.0
34,이종석,KIA,2700.0
35,이호신,KIA,3600.0
36,이홍구,KIA,7000.0
37,임기준,KIA,3300.0
38,임준혁,KIA,13000.0
39,전현태,KIA,3500.0
40,차일목,KIA,15000.0
41,최병연,KIA,3000.0
42,최영필,KIA,13000.0
43,최용규,KIA,5000.0
44,필,KIA,90000.0
45,한기주,KIA,6500.0
46,한승혁,KIA,7000.0
47,홍건희,KIA,4500.0
48,황대인,KIA,3000.0
