,name,team,salary
0,고영표,KT,4400.0
1,김동명,KT,4000.0
2,김민수,KT,3200.0
3,김민혁,KT,4700.0
4,김사연,KT,4500.0
5,김사율,KT,20000.0
6,김상현,KT,20000.0
7,김선민,KT,3200.0
8,김영환,KT,3700.0
9,김재윤,KT,7200.0
10,김종민,KT,3800.0
11,김진곤,KT,3500.0
12,김태훈,KT,3000.0
13,마르테,KT,75000.0
14,모상기,KT,2800.0
15,문상철,KT,3600.0
16,박경수,KT,23000.0
17,박기혁,KT,15000.0
18,박용근,KT,4000.0
19,배병옥,KT,3500.0
20,배우열,KT,3600.0
21,송민섭,KT,2700.0
22,심우준,KT,3500.0
23,심재민,KT,4700.0
24,안상빈,KT,3700.0
25,엄상백,KT,6000.0
26,오정복,KT,8000.0
27,윤근영,KT,6200.0
28,윤여운,KT,2700.0
29,윤요섭,KT,6500.0
30,이대형,KT,30000.0
31,이윤학,KT,2700.0
32,이지찬,KT,2800.0
33,이창재,KT,4400.0
34,이창진,KT,2900.0
35,이해창,KT,2900.0
36,장성우,KT,6500.0
37,장시환,KT,8900.0
38,정대현,KT,6300.0
39,정성곤,KT,3900.0
40,조무근,KT,8500.0
41,주권,KT,3600.0
42,최대성,KT,8500.0
43,최원재,KT,4600.0
44,하준호,KT,6000.0
45,홍성무,KT,3600.0
46,홍성용,KT,7000.0
47,황덕균,KT,2700.0
