,name,team,salary
0,강병의,LG,3000.0
1,김광삼,LG,5000.0
2,김선규,LG,6000.0
3,김용의,LG,6000.0
4,김재성,LG,2700.0
5,김재율,LG,2900.0
6,김지성,LG,3800.0
7,김지용,LG,4000.0
8,나성용,LG,3700.0
9,류제국,LG,18000.0
10,문선재,LG,6500.0
11,박성준,LG,3000.0
12,박용택,LG,80000.0
13,박지규,LG,2700.0
14,백창수,LG,4000.0
15,봉중근,LG,30000.0
16,서상우,LG,6000.0
17,소사,LG,50000.0
18,손주인,LG,12000.0
19,신승현,LG,6000.0
20,안익훈,LG,4100.0
21,양석환,LG,7000.0
22,양원혁,LG,2700.0
23,오지환,LG,25000.0
24,우규민,LG,40000.0
25,유강남,LG,8100.0
26,유원상,LG,7500.0
27,윤지웅,LG,12500.0
28,윤진호,LG,3300.0
29,이동현,LG,60000.0
30,이민재,LG,3400.0
31,이병규,LG,47800.0
32,이승현,LG,3700.0
33,이준형,LG,2800.0
34,이진영,LG,60000.0
35,임정우,LG,12500.0
36,임지섭,LG,3500.0
37,임훈,LG,13000.0
38,장준원,LG,3000.0
39,장진용,LG,5000.0
40,정성훈,LG,50000.0
41,정찬헌,LG,5100.0
42,조윤준,LG,3000.0
43,진해수,LG,9500.0
44,채은성,LG,5500.0
45,최경철,LG,9000.0
46,최동환,LG,3500.0
47,최승준,LG,4200.0
48,황목치승,LG,4000.0
49,히메네스,LG,50000.0
