,name,team,salary
0,강구성,NC,2700.0
1,강민국,NC,2700.0
2,강장산,NC,3000.0
3,고창성,NC,5000.0
4,김성욱,NC,5500.0
5,김종호,NC,17500.0
6,김준완,NC,3000.0
7,김진성,NC,15000.0
8,김태군,NC,21000.0
9,김태진,NC,3000.0
10,나성범,NC,30000.0
11,노성호,NC,5500.0
12,노진혁,NC,4300.0
13,모창민,NC,12500.0
14,민성기,NC,3300.0
15,박광열,NC,3000.0
16,박민우,NC,19000.0
17,박진우,NC,3200.0
18,배재환,NC,2700.0
19,손시헌,NC,40000.0
20,손정욱,NC,5600.0
21,스튜어트,NC,50000.0
22,용덕한,NC,8500.0
23,윤병호,NC,2900.0
24,이민호,NC,13500.0
25,이승호,NC,7000.0
26,이재학,NC,20000.0
27,이종욱,NC,50000.0
28,이창섭,NC,3000.0
29,이태양,NC,10000.0
30,이호준,NC,75000.0
31,임정호,NC,7700.0
32,임창민,NC,17400.0
33,장현식,NC,2700.0
34,조영훈,NC,11000.0
35,조평호,NC,3500.0
36,지석훈,NC,14000.0
37,최금강,NC,9200.0
38,최재원,NC,5000.0
39,테임즈,NC,125000.0
40,해커,NC,60000.0
41,황윤호,NC,2700.0
