,name,team,salary
0,고효준,SK,8000.0
1,김강민,SK,60000.0
2,김광현,SK,85000.0
3,김기현,SK,3000.0
4,김민식,SK,3000.0
5,김성현,SK,18000.0
6,김연훈,SK,4700.0
7,김재현,SK,4000.0
8,김태훈,SK,2800.0
9,나주환,SK,20000.0
10,문광은,SK,6000.0
11,박계현,SK,6000.0
12,박민호,SK,4000.0
13,박윤,SK,4000.0
14,박재상,SK,20000.0
15,박정권,SK,40000.0
16,박정배,SK,8000.0
17,박종훈,SK,7000.0
18,박희수,SK,14000.0
19,백인식,SK,3800.0
20,밴와트,SK,40000.0
21,서진용,SK,3000.0
22,세든,SK,40000.0
23,신재웅,SK,16500.0
24,안정광,SK,2900.0
25,유서준,SK,2900.0
26,윤길현,SK,50000.0
27,윤석주,SK,2800.0
28,윤중환,SK,2800.0
29,윤희상,SK,12000.0
30,이대수,SK,35000.0
31,이명기,SK,18000.0
32,이재원,SK,28000.0
33,이진석,SK,2900.0
34,이현석,SK,2700.0
35,전유수,SK,13000.0
36,정상호,SK,50000.0
37,정우람,SK,120000.0
38,정의윤,SK,12000.0
39,조동화,SK,30000.0
40,채병용,SK,25000.0
41,최정,SK,100000.0
42,최정민,SK,3000.0
43,켈리,SK,75000.0
44,허웅,SK,3300.0
