,name,team,salary
0,고영민,두산,15000.0
1,국해성,두산,3000.0
2,김강률,두산,6200.0
3,김명성,두산,3200.0
4,김응민,두산,2800.0
5,김재호,두산,41000.0
6,김재환,두산,5000.0
7,김진형,두산,3000.0
8,남경호,두산,3000.0
9,노경은,두산,20000.0
10,니퍼트,두산,120000.0
11,류지혁,두산,3000.0
12,민병헌,두산,35000.0
13,박건우,두산,7000.0
14,변진수,두산,7300.0
15,양의지,두산,42000.0
16,양현,두산,2700.0
17,오장훈,두산,2900.0
18,오재원,두산,55000.0
19,오재일,두산,9500.0
20,오현택,두산,11000.0
21,유민상,두산,3200.0
22,유희관,두산,40000.0
23,윤명준,두산,11500.0
24,이용호,두산,2700.0
25,이원재,두산,2800.0
26,이재우,두산,9000.0
27,이현승,두산,40000.0
28,이현호,두산,6800.0
29,장민석,두산,10000.0
30,장민익,두산,2800.0
31,장원준,두산,100000.0
32,정수빈,두산,28000.0
33,정진호,두산,5200.0
34,조승수,두산,2900.0
35,진야곱,두산,6000.0
36,최영진,두산,3000.0
37,최재훈,두산,6800.0
38,최주환,두산,11000.0
39,함덕주,두산,10000.0
40,허경민,두산,20000.0
41,허준혁,두산,7500.0
42,홍성흔,두산,40000.0
