,name,team,salary
0,강경학,한화,6500.0
1,고동진,한화,8000.0
2,구본범,한화,2900.0
3,권용관,한화,8000.0
4,권혁,한화,45000.0
5,김경언,한화,20000.0
6,김기현,한화,3300.0
7,김민우,한화,3800.0
8,김범수,한화,3200.0
9,김용주,한화,3000.0
10,김태균,한화,160000.0
11,김태완,한화,8000.0
12,김회성,한화,5500.0
13,로저스,한화,170000.0
14,문재현,한화,2700.0
15,박노민,한화,4000.0
16,박성호,한화,5000.0
17,박정진,한화,30000.0
18,박한길,한화,3000.0
19,배영수,한화,55000.0
20,송광민,한화,10000.0
21,송은범,한화,45000.0
22,송주호,한화,4000.0
23,송창식,한화,16000.0
24,신성현,한화,3700.0
25,안영명,한화,28000.0
26,윤규진,한화,17000.0
27,이동걸,한화,3500.0
28,이성열,한화,25000.0
29,이시찬,한화,5100.0
30,이용규,한화,70000.0
31,이종환,한화,6200.0
32,이창열,한화,3200.0
33,임익준,한화,3500.0
34,임준섭,한화,8500.0
35,장민재,한화,3700.0
36,장운호,한화,4200.0
37,정광운,한화,2800.0
38,정근우,한화,70000.0
39,정대훈,한화,5100.0
40,정범모,한화,6000.0
41,정재원,한화,3700.0
42,정현석,한화,9500.0
43,조영우,한화,2800.0
44,조인성,한화,40000.0
45,주현상,한화,3700.0
46,지성준,한화,3000.0
47,최진행,한화,18500.0
48,하주석,한화,3200.0
49,허도환,한화,7500.0
50,황선일,한화,2800.0
