,name,team,salary
0,강동수,롯데,2900.0
1,강민호,롯데,100000.0
2,강영식,롯데,30000.0
3,구승민,롯데,2900.0
4,김대륙,롯데,3200.0
5,김대우,롯데,3800.0
6,김문호,롯데,7000.0
7,김민하,롯데,4000.0
8,김성배,롯데,18000.0
9,김승회,롯데,22000.0
10,김원중,롯데,3600.0
11,김재유,롯데,2900.0
12,김주현,롯데,3300.0
13,김준태,롯데,3000.0
14,레일리,롯데,63000.0
15,린드블럼,롯데,120000.0
16,문규현,롯데,9000.0
17,박세웅,롯데,5600.0
18,박종윤,롯데,16000.0
19,박진형,롯데,2800.0
20,배장호,롯데,4600.0
21,손아섭,롯데,60000.0
22,손용석,롯데,3400.0
23,송승준,롯데,40000.0
24,심규범,롯데,2900.0
25,심수창,롯데,25000.0
26,아두치,롯데,78000.0
27,안중열,롯데,4000.0
28,오승택,롯데,7000.0
29,오윤석,롯데,2700.0
30,오현근,롯데,3000.0
31,이경우,롯데,2800.0
32,이명우,롯데,15000.0
33,이상화,롯데,5000.0
34,이성민,롯데,9500.0
35,이여상,롯데,3600.0
36,이우민,롯데,7000.0
37,이인복,롯데,2900.0
38,이재곤,롯데,3800.0
39,이정민,롯데,6500.0
40,정대현,롯데,32000.0
41,정재훈,롯데,15000.0
42,정훈,롯데,21000.0
43,조현우,롯데,2800.0
44,차재용,롯데,2800.0
45,최준석,롯데,40000.0
46,허준혁,롯데,3000.0
47,홍성민,롯데,12000.0
48,황재균,롯데,50000.0
49,황진수,롯데,2800.0
