,name,team,salary
0,강지광,넥센,2700.0
1,고종욱,넥센,7700.0
2,금민철,넥센,7900.0
3,김대우,넥센,11000.0
4,김동준,넥센,3000.0
5,김민성,넥센,22000.0
6,김민준,넥센,2700.0
7,김상수,넥센,6000.0
8,김세현,넥센,16000.0
9,김재현,넥센,4400.0
10,김정인,넥센,3000.0
11,김정훈,넥센,3400.0
12,김지수,넥센,5500.0
13,김택형,넥센,4400.0
14,김하성,넥센,16000.0
15,마정길,넥센,20000.0
16,문성현,넥센,11000.0
17,문우람,넥센,9000.0
18,박동원,넥센,14000.0
19,박헌도,넥센,8000.0
20,배힘찬,넥센,3300.0
21,서건창,넥센,26000.0
22,서동욱,넥센,5800.0
23,손승락,넥센,70000.0
24,송성문,넥센,3000.0
25,송신영,넥센,19000.0
26,양훈,넥센,15000.0
27,오재영,넥센,8800.0
28,유선정,넥센,3900.0
29,유재신,넥센,6000.0
30,유한준,넥센,60000.0
31,윤석민,넥센,16000.0
32,이상민,넥센,3000.0
33,이정훈,넥센,4900.0
34,이택근,넥센,50000.0
35,임병욱,넥센,4000.0
36,장시윤,넥센,3300.0
37,장영석,넥센,3300.0
38,정회찬,넥센,2700.0
39,조상우,넥센,17000.0
40,피어밴드,넥센,45000.0
41,하영민,넥센,5500.0
42,한현희,넥센,30000.0
43,허정협,넥센,3000.0
44,홍성갑,넥센,3200.0
