,name,team,salary
0,고영민,두산,15000.0
1,국해성,두산,3000.0
2,김강률,두산,6200.0
3,김명성,두산,3200.0
4,김응민,두산,2800.0
5,김재호,두산,41000.0
6,김재환,두산,5000.0
7,김진형,두산,3000.0
8,남경호,두산,3000.0
9,노경은,두산,20000.0
10,니퍼트,두산,120000.0
11,류지혁,두산,3000.0
12,민병헌,두산,35000.0
13,박건우,두산,7000.0
14,변진수,두산,7300.0
15,양의지,두산,42000.0
16,양현,두산,2700.0
17,오장훈,두산,2900.0
18,오재원,두산,55000.0
19,오재일,두산,9500.0
20,오현택,두산,11000.0
21,유민상,두산,3200.0
22,유희관,두산,40000.0
23,윤명준,두산,11500.0
24,이용호,두산,2700.0
25,이원재,두산,2800.0
26,이재우,두산,9000.0
27,이현승,두산,40000.0
28,이현호,두산,6800.0
29,장민석,두산,10000.0
30,장민익,두산,2800.0
31,장원준,두산,100000.0
32,정수빈,두산,28000.0
33,정진호,두산,5200.0
34,조승수,두산,2900.0
35,진야곱,두산,6000.0
36,최영진,두산,3000.0
37,최재훈,두산,6800.0
38,최주환,두산,11000.0
39,함덕주,두산,10000.0
40,허경민,두산,20000.0
41,허준혁,두산,7500.0
42,홍성흔,두산,40000.0
43,강경학,한화,6500.0
44,고동진,한화,8000.0
45,구본범,한화,2900.0
46,권용관,한화,8000.0
47,권혁,한화,45000.0
48,김경언,한화,20000.0
49,김기현,한화,3300.0
50,김민우,한화,3800.0
51,김범수,한화,3200.0
52,김용주,한화,3000.0
53,김태균,한화,160000.0
54,김태완,한화,8000.0
55,김회성,한화,5500.0
56,로저스,한화,170000.0
57,문재현,한화,2700.0
58,박노민,한화,4000.0
59,박성호,한화,5000.0
60,박정진,한화,30000.0
61,박한길,한화,3000.0
62,배영수,한화,55000.0
63,송광민,한화,10000.0
64,송은범,한화,45000.0
65,송주호,한화,4000.0
66,송창식,한화,16000.0
67,신성현,한화,3700.0
68,안영명,한화,28000.0
69,윤규진,한화,17000.0
70,이동걸,한화,3500.0
71,이성열,한화,25000.0
72,이시찬,한화,5100.0
73,이용규,한화,70000.0
74,이종환,한화,6200.0
75,이창열,한화,3200.0
76,임익준,한화,3500.0
77,임준섭,한화,8500.0
78,장민재,한화,3700.0
79,장운호,한화,4200.0
80,정광운,한화,2800.0
81,정근우,한화,70000.0
82,정대훈,한화,5100.0
83,정범모,한화,6000.0
84,정재원,한화,3700.0
85,정현석,한화,9500.0
86,조영우,한화,2800.0
87,조인성,한화,40000.0
88,주현상,한화,3700.0
89,지성준,한화,3000.0
90,최진행,한화,18500.0
91,하주석,한화,3200.0
92,허도환,한화,7500.0
93,황선일,한화,2800.0
94,강한울,KIA,6000.0
95,고영우,KIA,3900.0
96,김광수,KIA,10000.0
97,김다원,KIA,7000.0
98,김명찬,KIA,2900.0
99,김민우,KIA,12000.0
100,김병현,KIA,15000.0
101,김원섭,KIA,15000.0
102,김주찬,KIA,50000.0
103,김주형,KIA,5500.0
104,김준,KIA,3200.0
105,김진우,KIA,12000.0
106,김태영,KIA,8800.0
107,김호령,KIA,6000.0
108,나지완,KIA,20000.0
109,노수광,KIA,3000.0
110,문경찬,KIA,2700.0
111,박정수,KIA,2700.0
112,박준태,KIA,3400.0
113,박준표,KIA,4500.0
114,박찬호,KIA,3700.0
115,백용환,KIA,6000.0
116,신종길,KIA,12000.0
117,신창호,KIA,3700.0
118,심동섭,KIA,14000.0
119,양현종,KIA,75000.0
120,오준혁,KIA,3300.0
121,유창식,KIA,6000.0
122,윤석민,KIA,125000.0
123,윤완주,KIA,3500.0
124,이범호,KIA,65000.0
125,이성우,KIA,6500.0
126,이은총,KIA,3000.0
127,이인행,KIA,3000.0
128,이종석,KIA,2700.0
129,이호신,KIA,3600.0
130,이홍구,KIA,7000.0
131,임기준,KIA,3300.0
132,임준혁,KIA,13000.0
133,전현태,KIA,3500.0
134,차일목,KIA,15000.0
