,name,team,salary
0,구자욱,삼성,8000.0
1,권오준,삼성,7000.0
2,김건한,삼성,6000.0
3,김기태,삼성,4000.0
4,김상수,삼성,31000.0
5,김재현,삼성,4500.0
6,김정혁,삼성,3300.0
7,김태완,삼성,6000.0
8,김현우,삼성,4500.0
9,박계범,삼성,2900.0
10,박근홍,삼성,11000.0
11,박석민,삼성,75000.0
12,박찬도,삼성,3100.0
13,박한이,삼성,45000.0
14,박해민,삼성,15000.0
15,배영섭,삼성,16000.0
16,백상원,삼성,4500.0
17,백정현,삼성,5500.0
18,신용운,삼성,5500.0
19,심창민,삼성,14000.0
20,안지만,삼성,75000.0
21,우동균,삼성,5500.0
22,윤성환,삼성,80000.0
23,윤영수,삼성,2900.0
24,이상훈,삼성,3500.0
25,이승엽,삼성,100000.0
26,이영욱,삼성,5500.0
27,이정식,삼성,4500.0
28,이지영,삼성,21000.0
29,이흥련,삼성,7500.0
30,임창용,삼성,30000.0
31,임현준,삼성,3300.0
32,장원삼,삼성,75000.0
33,장필준,삼성,2800.0
34,정인욱,삼성,6000.0
35,조현근,삼성,4500.0
36,차우찬,삼성,40000.0
37,채태인,삼성,30000.0
38,최민구,삼성,2900.0
39,최선호,삼성,3500.0
40,최형우,삼성,70000.0
